CPM,Time
0,1630743008.206749
2,1630743013.212011
1,1630743018.2172384
3,1630743023.2177117
1,1630743028.2229507
0,1630743033.2281752
3,1630743038.23341
5,1630743043.2386117
0,1630743048.2438457
3,1630743053.2490666
3,1630743058.2542813
2,1630743063.2595105
2,1630743068.2647316
3,1630743073.269967
2,1630743078.2751877
2,1630743083.2804227
0,1630743088.285649
0,1630743093.290865
5,1630743098.2960825
0,1630743103.3013358
0,1630743108.3065596
2,1630743113.3117855
3,1630743118.3170252
1,1630743123.32224
3,1630743128.3274696
0,1630743133.332761
1,1630743138.3379998
2,1630743143.34323
2,1630743148.3484519
1,1630743153.35368
3,1630743158.3589208
1,1630743163.3641412
2,1630743168.369361
0,1630743173.37458
2,1630743178.3797948
1,1630743183.3850222
0,1630743188.3902476
0,1630743193.39547
0,1630743198.4006946
2,1630743203.40592
1,1630743208.411139
0,1630743213.416362
4,1630743218.4215848
3,1630743223.4267855
1,1630743228.4320142
1,1630743233.4370174
3,1630743238.437724
0,1630743243.442958
3,1630743248.4481802
3,1630743253.4534066
0,1630743258.458649
0,1630743263.46388
2,1630743268.4677174
1,1630743273.4729424
6,1630743278.4781713
1,1630743283.4834034
0,1630743288.4886353
2,1630743293.4938662
3,1630743298.4990985
1,1630743303.5043306
